year,sgg_cd,sgg_nm,bjdong_nm,cost,build_year
2024,11440,마포구,상암동,26000,2013
2024,11215,광진구,자양동,74000,2017
2024,11440,마포구,아현동,22800,2005
2024,11500,강서구,화곡동,7900,2013
2024,11530,구로구,구로동,71000,1999
2024,11215,광진구,중곡동,21000,2017
2024,11230,동대문구,이문동,88500,2004
2024,11290,성북구,정릉동,26700,1998
2024,11380,은평구,대조동,38000,2010
2024,11680,강남구,논현동,146000,2004
2024,11200,성동구,송정동,49500,2008
2024,11470,양천구,신정동,59900,1999
2024,11740,강동구,상일동,121000,2020
2024,11470,양천구,신정동,109000,1988
2024,11140,중구,장충동2가,38000,1969
2024,11590,동작구,신대방동,17000,2012
2024,11560,영등포구,대림동,62000,1985
2024,11440,마포구,마포동,130000,2022
2024,11710,송파구,장지동,100000,2007
2024,11470,양천구,목동,23400,2007
2024,11410,서대문구,연희동,15000,2014
2024,11215,광진구,구의동,196000,2021
2024,11215,광진구,자양동,42000,2017
2024,11440,마포구,공덕동,16000,2013
2024,11470,양천구,신월동,25000,2013
2024,11440,마포구,신공덕동,105500,2003
2024,11215,광진구,군자동,29300,2016
2024,11110,종로구,익선동,15000,2004
2024,11140,중구,신당동,23000,2013
2024,11560,영등포구,대림동,66900,1992
2024,11470,양천구,신월동,19500,1988
2024,11500,강서구,화곡동,7500,2013
2024,11680,강남구,대치동,178800,1997
2024,11590,동작구,상도동,115000,2012
2024,11590,동작구,상도동,130000,2012
2024,11710,송파구,방이동,200000,1988
2024,11290,성북구,길음동,74000,2003
2024,11530,구로구,구로동,51500,2008
2024,11230,동대문구,휘경동,88500,2019
2024,11680,강남구,도곡동,33500,1998
2024,11710,송파구,오금동,54000,1997
2024,11305,강북구,번동,19000,2021
2024,11260,중랑구,상봉동,80000,2003
2024,11740,강동구,천호동,81000,1997
2024,11320,도봉구,창동,25700,2014
2024,11680,강남구,일원동,205000,1987
2024,11650,서초구,양재동,32600,1991
2024,11440,마포구,아현동,143000,2014
2024,11410,서대문구,연희동,62000,1997
2024,11320,도봉구,창동,23800,2015
2024,11440,마포구,공덕동,9800,2002
2024,11320,도봉구,쌍문동,19700,2002
2024,11230,동대문구,장안동,116000,2007
2024,11710,송파구,거여동,135000,2021
2024,11350,노원구,상계동,37500,1998
2024,11260,중랑구,상봉동,56000,1996
2024,11410,서대문구,연희동,33700,1981
2024,11440,마포구,공덕동,17000,2013
2024,11200,성동구,옥수동,35000,2004
2024,11305,강북구,미아동,58000,2003
2024,11290,성북구,보문동2가,137500,1980
2024,11560,영등포구,영등포동6가,25000,
2024,11620,관악구,봉천동,73500,2005
2024,11740,강동구,천호동,30000,2022
2024,11380,은평구,갈현동,76000,1967
2024,11320,도봉구,방학동,11980,1996
2024,11410,서대문구,홍제동,133000,2021
2024,11620,관악구,신림동,45800,1991
2024,11500,강서구,화곡동,26200,2018
2024,11470,양천구,신월동,12000,1988
2024,11440,마포구,성산동,51500,2005
2024,11530,구로구,개봉동,66000,1999
2024,11440,마포구,아현동,21900,2006
2024,11350,노원구,중계동,106000,1993
2024,11740,강동구,길동,15730,2004
2024,11305,강북구,수유동,27000,2013
2024,11380,은평구,갈현동,19000,2017
2024,11410,서대문구,연희동,72000,1993
2024,11410,서대문구,연희동,90000,1993
2024,11650,서초구,잠원동,264000,2020
2024,11680,강남구,청담동,190000,1999
2024,11560,영등포구,도림동,50000,2017
2024,11440,마포구,공덕동,120000,2004
2024,11710,송파구,잠실동,240000,2008
2024,11710,송파구,잠실동,240000,2008
2024,11440,마포구,망원동,47800,2008
2024,11710,송파구,문정동,18000,2017
2024,11710,송파구,잠실동,169100,2008
2024,11260,중랑구,상봉동,19900,2020
2024,11560,영등포구,신길동,86000,2017
2024,11380,은평구,수색동,61000,2003
2024,11740,강동구,상일동,141500,2019
2024,11140,중구,입정동,99000,2023
2024,11620,관악구,봉천동,13900,1998
2024,11320,도봉구,창동,18100,1986
2024,11200,성동구,금호동1가,169000,2019
2024,11650,서초구,방배동,230000,1985
2024,11680,강남구,도곡동,323000,1985
2024,11710,송파구,거여동,92000,1999
2024,11380,은평구,역촌동,37200,2017
2024,11710,송파구,거여동,28000,2020
2024,11710,송파구,가락동,90000,2000
2024,11230,동대문구,용두동,75000,1975
2024,11305,강북구,수유동,60000,2005
2024,11620,관악구,봉천동,13800,2003
2024,11530,구로구,개봉동,55000,1995
2024,11530,구로구,궁동,29000,2004
2024,11140,중구,신당동,18000,2016
2024,11350,노원구,상계동,85500,2020
2024,11590,동작구,신대방동,12200,2012
2024,11590,동작구,신대방동,100000,2022
2024,11290,성북구,성북동1가,38000,2003
2024,11260,중랑구,묵동,55000,1998
2024,11290,성북구,성북동1가,38000,2003
2024,11380,은평구,응암동,58400,2023
2024,11650,서초구,양재동,77500,2001
2024,11440,마포구,아현동,100000,2003
2024,11260,중랑구,중화동,25500,2017
2024,11470,양천구,신정동,138000,1987
2024,11470,양천구,신정동,136000,1987
2024,11560,영등포구,양평동3가,70000,1998
2024,11440,마포구,합정동,28000,1991
2024,11560,영등포구,당산동4가,126500,2000
2024,11560,영등포구,양평동1가,71000,1982
2024,11170,용산구,서빙고동,380000,1984
2024,11545,금천구,시흥동,40000,2000
2024,11590,동작구,상도동,147800,2021
2024,11560,영등포구,당산동4가,170000,2010
2024,11230,동대문구,답십리동,14500,2004
2024,11710,송파구,방이동,98000,2001
2024,11500,강서구,염창동,72000,1993
2024,11470,양천구,목동,185000,2004
2024,11530,구로구,구로동,28500,2012
2024,11590,동작구,상도동,78000,2006
2024,11560,영등포구,여의도동,50000,1991
2024,11470,양천구,신정동,157750,2016
2024,11350,노원구,상계동,10350,1991
2024,11620,관악구,신림동,43000,2016
2024,11380,은평구,진관동,87000,2008
2024,11500,강서구,마곡동,157000,2017
2024,11500,강서구,마곡동,72300,1999
2024,11650,서초구,서초동,33600,2020
2024,11650,서초구,반포동,129000,2022
2024,11260,중랑구,면목동,66500,1993
2024,11215,광진구,중곡동,32000,2010
2024,11710,송파구,삼전동,51500,2016
2024,11380,은평구,증산동,40000,1991
2024,11740,강동구,길동,20500,1994
2024,11320,도봉구,창동,10900,1991
2024,11620,관악구,봉천동,20400,2022
2024,11200,성동구,하왕십리동,113000,2017
2024,11620,관악구,신림동,13300,1990
2024,11680,강남구,도곡동,288000,2006
2024,11440,마포구,상수동,170000,2004
2024,11410,서대문구,홍제동,63000,1999
2024,11710,송파구,석촌동,49500,2003
2024,11620,관악구,봉천동,69000,2005
2024,11350,노원구,중계동,140000,1993
2024,11440,마포구,대흥동,179000,2020
2024,11380,은평구,신사동,28400,2008
2024,11470,양천구,신월동,53000,2005
2024,11710,송파구,삼전동,46000,2019
2024,11590,동작구,대방동,40000,2002
2024,11260,중랑구,면목동,31000,1971
2024,11500,강서구,마곡동,16800,2019
2024,11710,송파구,잠실동,19000,2004
2024,11740,강동구,천호동,34500,2020
2024,11740,강동구,천호동,34500,2020
2024,11680,강남구,대치동,365000,1983
2024,11380,은평구,진관동,81000,2009
2024,11500,강서구,가양동,26000,2015
2024,11440,마포구,상암동,15400,2014
2024,11650,서초구,방배동,168500,2019
2024,11740,강동구,암사동,95000,2000
2024,11170,용산구,한남동,1200000,2019
2024,11440,마포구,노고산동,26500,2002
2024,11560,영등포구,신길동,48000,2015
2024,11650,서초구,서초동,26500,2013
2024,11215,광진구,자양동,12600,2012
2024,11230,동대문구,청량리동,31150,2023
2024,11680,강남구,일원동,143000,1994
2024,11110,종로구,부암동,35000,1985
2024,11290,성북구,하월곡동,72000,2010
2024,11290,성북구,하월곡동,72000,2010
2024,11680,강남구,청담동,71000,2017
2024,11680,강남구,압구정동,710000,1982
2024,11620,관악구,신림동,17500,1992
2024,11440,마포구,상암동,102000,2003
2024,11380,은평구,역촌동,49500,2004
2024,11260,중랑구,면목동,42000,2003
2024,11230,동대문구,이문동,110673,0
2024,11440,마포구,상암동,89000,2003
2024,11710,송파구,장지동,101000,2007
2024,11380,은평구,불광동,18500,2018
2024,11650,서초구,우면동,230000,2013
2024,11170,용산구,한강로3가,295000,2007
2024,11215,광진구,중곡동,24000,2003
2024,11170,용산구,후암동,29500,1995
2024,11215,광진구,자양동,36000,2019
2024,11545,금천구,시흥동,37200,2023
2024,11650,서초구,방배동,35000,2022
2024,11470,양천구,신정동,42000,2010
2024,11350,노원구,상계동,56000,1995
2024,11110,종로구,명륜2가,121000,1995
2024,11290,성북구,길음동,89500,2003
2024,11380,은평구,구산동,34000,2014
2024,11650,서초구,양재동,48000,1996
2024,11320,도봉구,방학동,27000,1988
2024,11530,구로구,개봉동,85000,2001
2024,11320,도봉구,쌍문동,56500,1988
2024,11680,강남구,대치동,401000,1985
2024,11230,동대문구,청량리동,92266,0
2024,11380,은평구,녹번동,175000,1980
2024,11290,성북구,돈암동,105500,1998
2024,11530,구로구,오류동,56000,1999
2024,11260,중랑구,망우동,59000,2007
2024,11440,마포구,도화동,83000,2006
2024,11305,강북구,번동,25000,1997
2024,11320,도봉구,쌍문동,36250,1988
2024,11440,마포구,공덕동,149000,2011
2024,11680,강남구,개포동,35000,1997
2024,11680,강남구,역삼동,240000,2010
2024,11320,도봉구,도봉동,58000,1995
2024,11140,중구,북창동,34000,1900
2024,11500,강서구,화곡동,23300,2017
2024,11500,강서구,화곡동,35500,2022
2024,11170,용산구,이촌동,168000,1997
2024,11740,강동구,천호동,35850,2016
2024,11560,영등포구,양평동4가,24000,2015
2024,11470,양천구,신정동,36000,2002
2024,11230,동대문구,이문동,115115,1992
2024,11545,금천구,독산동,120000,2018
2024,11740,강동구,천호동,74000,1985
2024,11320,도봉구,쌍문동,27000,1988
2024,11260,중랑구,상봉동,23000,2019
2024,11230,동대문구,이문동,150232,1984
2024,11200,성동구,옥수동,230000,2012
2024,11620,관악구,남현동,140000,1984
2024,11230,동대문구,이문동,76000,1969
2024,11320,도봉구,창동,50800,1990
2024,11440,마포구,도화동,108000,1996
2024,11320,도봉구,쌍문동,54700,2002
2024,11320,도봉구,쌍문동,18700,2000
2024,11680,강남구,대치동,327500,2015
2024,11380,은평구,갈현동,15000,2014
2024,11260,중랑구,면목동,40700,1987
2024,11560,영등포구,양평동3가,83200,2000
2024,11290,성북구,돈암동,73500,2004
2024,11305,강북구,수유동,36000,2022
2024,11440,마포구,아현동,141000,2014
2024,11440,마포구,구수동,78500,2009
2024,11440,마포구,구수동,79000,2009
2024,11590,동작구,상도동,119500,2007
2024,11410,서대문구,북가좌동,114000,2012
2024,11740,강동구,고덕동,125000,2019
2024,11620,관악구,봉천동,28500,1991
2024,11290,성북구,석관동,49000,1994
2024,11500,강서구,염창동,39500,2021
2024,11290,성북구,장위동,82000,2020
2024,11590,동작구,상도동,33900,1994
2024,11590,동작구,상도동,33900,1994
2024,11140,중구,신당동,29800,2019
2024,11410,서대문구,남가좌동,111000,2019
2024,11710,송파구,잠실동,256800,1978
2024,11410,서대문구,홍제동,99000,2000
2024,11440,마포구,용강동,155000,2015
2024,11140,중구,북창동,34000,1957
2024,11500,강서구,화곡동,28500,2022
2024,11260,중랑구,면목동,67800,2006
2024,11590,동작구,사당동,122500,2013
2024,11320,도봉구,쌍문동,48500,1991
2024,11170,용산구,이태원동,43000,2020
2024,11170,용산구,보광동,237000,1992
2024,11560,영등포구,영등포동2가,33000,2018
2024,11440,마포구,중동,58000,2022
2024,11590,동작구,사당동,108000,2004
2024,11620,관악구,봉천동,97437,1996
2024,11590,동작구,흑석동,126500,2012
2024,11230,동대문구,용두동,100000,2011
2024,11500,강서구,화곡동,145000,2015
2024,11560,영등포구,신길동,117000,2021
2024,11620,관악구,신림동,28000,1994
2024,11260,중랑구,묵동,75500,2009
2024,11740,강동구,상일동,105000,2019
2024,11110,종로구,숭인동,15000,2004
2024,11110,종로구,가회동,174321,2000
2024,11440,마포구,도화동,137600,1997
2024,11590,동작구,흑석동,110000,2012
2024,11440,마포구,신수동,59000,2022
2024,11320,도봉구,창동,61000,1994
2024,11740,강동구,암사동,39000,2017
2024,11140,중구,충무로4가,120000,1900
2024,11410,서대문구,연희동,17000,2006
2024,11230,동대문구,제기동,40000,2004
2024,11545,금천구,가산동,14000,2019
2024,11410,서대문구,홍제동,22500,1986
2024,11590,동작구,상도동,105500,2007
2024,11500,강서구,화곡동,23400,2019
2024,11590,동작구,상도동,37000,2018
2024,11560,영등포구,도림동,108300,2014
2024,11500,강서구,등촌동,95000,1995
2024,11500,강서구,내발산동,94400,2008
2024,11215,광진구,구의동,49000,2003
2024,11620,관악구,신림동,47500,1988
2024,11590,동작구,대방동,99554,1993
2024,11410,서대문구,합동,28000,2005
2024,11230,동대문구,전농동,14900,2015
2024,11260,중랑구,신내동,33000,1996
2024,11530,구로구,온수동,74000,2010
2024,11650,서초구,반포동,345000,2009
2024,11590,동작구,사당동,33000,2002
2024,11560,영등포구,당산동3가,66490,2007
2024,11530,구로구,신도림동,79000,1999
2024,11620,관악구,봉천동,27500,2017
2024,11440,마포구,아현동,14500,2005
2024,11440,마포구,아현동,23000,2005
2024,11740,강동구,성내동,87900,2022
2024,11740,강동구,고덕동,131000,2019
2024,11740,강동구,고덕동,125000,2019
2024,11680,강남구,개포동,310000,2020
2024,11410,서대문구,남가좌동,93500,2020
2024,11710,송파구,잠실동,28000,2004
2024,11215,광진구,구의동,94000,1997
2024,11410,서대문구,북가좌동,114500,2012
2024,11650,서초구,우면동,103000,1994
2024,11710,송파구,문정동,159000,1988
2024,11590,동작구,신대방동,107100,2021
2024,11140,중구,황학동,80000,2008
2024,11710,송파구,문정동,194000,1988
2024,11170,용산구,한남동,1200000,2011
2024,11470,양천구,목동,174000,2000
2024,11260,중랑구,신내동,15250,2003
2024,11350,노원구,상계동,38500,1988
2024,11620,관악구,신림동,67000,1970
2024,11560,영등포구,양평동3가,86000,2000
2024,11560,영등포구,양평동5가,75600,1996
2024,11560,영등포구,신길동,102000,1986
2024,11170,용산구,한남동,1200000,2011
2024,11560,영등포구,양평동5가,83500,1996
2024,11710,송파구,문정동,225000,1988
2024,11650,서초구,서초동,207000,1979
2024,11560,영등포구,신길동,117000,2021
2024,11680,강남구,삼성동,230000,1984
2024,11200,성동구,금호동2가,122200,2012
2024,11680,강남구,개포동,47700,2018
2024,11740,강동구,길동,36700,2003
2024,11320,도봉구,창동,30700,1989
2024,11320,도봉구,창동,33000,1989
2024,11170,용산구,주성동,395000,1976
2024,11320,도봉구,창동,31500,1989
2024,11320,도봉구,창동,50000,1988
2024,11305,강북구,수유동,13500,1993
2024,11350,노원구,월계동,30000,1995
2024,11590,동작구,흑석동,119000,1988
2024,11290,성북구,길음동,145800,2019
2024,11710,송파구,방이동,220000,1988
2024,11560,영등포구,영등포동1가,21000,2020
2024,11305,강북구,수유동,25250,2003
2024,11650,서초구,잠원동,215000,1989
2024,11230,동대문구,용두동,41000,2019
2024,11620,관악구,봉천동,79000,2007
2024,11680,강남구,청담동,385000,1988
2024,11530,구로구,개봉동,57800,2001
2024,11110,종로구,혜화동,130000,1991
2024,11500,강서구,마곡동,20400,2017
2024,11545,금천구,시흥동,43500,1985
2024,11410,서대문구,천연동,83000,2006
2024,11530,구로구,천왕동,71000,2011
2024,11530,구로구,구로동,43200,2006
2024,11215,광진구,자양동,39700,2022
2024,11290,성북구,정릉동,15500,1993
2024,11530,구로구,구로동,49000,1997
2024,11410,서대문구,홍제동,37000,1970
2024,11530,구로구,오류동,40000,1998
2024,11230,동대문구,휘경동,72000,2001
2024,11290,성북구,길음동,96400,2019
2024,11710,송파구,방이동,220000,1988
2024,11260,중랑구,면목동,56500,1993
2024,11260,중랑구,상봉동,37000,2014
2024,11110,종로구,평동,197000,2017
2024,11500,강서구,화곡동,49000,2005
2024,11350,노원구,상계동,46000,1988
2024,11230,동대문구,답십리동,128000,2019
2024,11710,송파구,송파동,145000,1984
2024,11200,성동구,금호동1가,102000,2001
2024,11440,마포구,합정동,34500,2016
2024,11230,동대문구,답십리동,128000,2019
2024,11740,강동구,상일동,149500,2020
2024,11560,영등포구,신길동,19782,1967
2024,11140,중구,신당동,81500,2001
2024,11500,강서구,마곡동,109000,2017
2024,11590,동작구,사당동,90000,2012
2024,11560,영등포구,영등포동7가,149200,2017
2024,11200,성동구,금호동2가,117000,2012
2024,11470,양천구,목동,37000,2013
2024,11560,영등포구,여의도동,100500,1971
2024,11290,성북구,돈암동,59950,2005
2024,11590,동작구,대방동,56000,2022
2024,11650,서초구,반포동,570000,2016
2024,11680,강남구,도곡동,268000,2007
2024,11350,노원구,상계동,44000,1998
2024,11680,강남구,역삼동,69000,2004
2024,11590,동작구,신대방동,162000,2003
2024,11590,동작구,사당동,96000,1997
2024,11500,강서구,마곡동,129000,2021
2024,11380,은평구,구산동,21300,2018
2024,11215,광진구,중곡동,53000,2022
2024,11350,노원구,공릉동,9900,1991
2024,11290,성북구,돈암동,72000,2005
2024,11710,송파구,장지동,156300,2016
2024,11260,중랑구,신내동,80000,2010
2024,11440,마포구,상수동,156000,2014
2024,11590,동작구,대방동,97800,1994
2024,11545,금천구,독산동,9900,2004
2024,11710,송파구,삼전동,28500,1993
2024,11500,강서구,방화동,8500,2001
2024,11590,동작구,흑석동,147000,2012
2024,11620,관악구,봉천동,23500,1996
2024,11470,양천구,목동,19500,1999
2024,11680,강남구,자곡동,120000,2014
2024,11740,강동구,천호동,33000,2017
2024,11170,용산구,효창동,124500,2018
2024,11680,강남구,일원동,183000,1994
2024,11590,동작구,상도동,106500,2007
2024,11290,성북구,길음동,86000,2010
2024,11590,동작구,사당동,62500,2004
2024,11290,성북구,길음동,85500,2010
2024,11200,성동구,성수동1가,139000,1994
2024,11200,성동구,성수동1가,157500,1994
2024,11530,구로구,고척동,74000,2008
2024,11440,마포구,상암동,125000,2006
2024,11230,동대문구,답십리동,85000,2007
2024,11440,마포구,아현동,178000,2014
2024,11320,도봉구,쌍문동,24000,2017
2024,11230,동대문구,이문동,120000,0
2024,11530,구로구,항동,62000,2019
2024,11500,강서구,방화동,70000,1989
2024,11350,노원구,상계동,37000,1987
2024,11740,강동구,암사동,26000,2018
2024,11230,동대문구,이문동,120000,0
2024,11740,강동구,암사동,25000,2018
2024,11560,영등포구,대림동,75300,1998
2024,11410,서대문구,북아현동,136500,2020
2024,11350,노원구,하계동,55000,1989
2024,11380,은평구,응암동,34000,2002
2024,11530,구로구,고척동,74000,2008
2024,11440,마포구,합정동,36900,1990
2024,11740,강동구,고덕동,123800,2016
2024,11590,동작구,대방동,13500,
2024,11440,마포구,망원동,49400,2023
2024,11320,도봉구,창동,93500,1997
2024,11230,동대문구,답십리동,104000,2014
2024,11410,서대문구,연희동,9000,2001
2024,11440,마포구,망원동,34000,1986
2024,11710,송파구,문정동,18600,2017
2024,11440,마포구,서교동,22700,2004
2024,11440,마포구,망원동,34000,1986
2024,11440,마포구,망원동,34000,1986
2024,11710,송파구,거여동,113500,2021
2024,11170,용산구,후암동,59500,2007
2024,11410,서대문구,북가좌동,34500,2013
2024,11440,마포구,망원동,46000,2023
2024,11320,도봉구,방학동,77000,2001
2024,11290,성북구,장위동,40000,2022
2024,11305,강북구,수유동,18500,1994
2024,11380,은평구,진관동,83000,2010
2024,11290,성북구,정릉동,17500,1987
2024,11410,서대문구,북가좌동,34200,2002
2024,11710,송파구,거여동,58000,1997
2024,11380,은평구,진관동,24000,2017
2024,11230,동대문구,청량리동,80000,1987
2024,11530,구로구,오류동,51400,2002
2024,11680,강남구,수서동,190900,2014
2024,11410,서대문구,현저동,85500,1998
2024,11740,강동구,길동,26000,2002
2024,11545,금천구,가산동,25000,2017
2024,11650,서초구,양재동,48000,2016
2024,11290,성북구,하월곡동,59000,1995
2024,11680,강남구,개포동,70000,2016
2024,11440,마포구,노고산동,25500,2002
2024,11500,강서구,등촌동,59000,1998
2024,11530,구로구,신도림동,96000,1999
2024,11410,서대문구,남가좌동,35000,2003
2024,11650,서초구,반포동,158000,1991
2024,11590,동작구,사당동,27800,1986
2024,11410,서대문구,남가좌동,71000,1999
2024,11530,구로구,고척동,55000,1989
2024,11680,강남구,역삼동,240000,2014
2024,11320,도봉구,도봉동,18000,2017
2024,11620,관악구,봉천동,105000,2005
2024,11200,성동구,하왕십리동,131000,2015
2024,11500,강서구,화곡동,23500,2017
2024,11650,서초구,서초동,257000,2006
2024,11440,마포구,도화동,120000,1991
2024,11500,강서구,마곡동,106500,2017
2024,11470,양천구,신월동,45000,1988
2024,11215,광진구,구의동,20000,1991
2024,11500,강서구,화곡동,15000,2002
2024,11620,관악구,신림동,31000,2002
2024,11620,관악구,봉천동,21900,2012
2024,11620,관악구,봉천동,114000,2019
2024,11290,성북구,정릉동,61000,2005
2024,11260,중랑구,신내동,29500,1989
2024,11500,강서구,화곡동,9500,1990
2024,11500,강서구,공항동,24800,2011
2024,11500,강서구,화곡동,20845,2014
2024,11260,중랑구,면목동,34700,2011
2024,11740,강동구,명일동,142000,2019
2024,11350,노원구,공릉동,17500,1993
2024,11350,노원구,상계동,65500,1988
2024,11680,강남구,대치동,31000,2004
2024,11650,서초구,방배동,115000,1993
2024,11620,관악구,신림동,51000,1991
2024,11290,성북구,정릉동,14000,1992
2024,11260,중랑구,묵동,54500,1999
2024,11380,은평구,응암동,64000,2011
2024,11440,마포구,아현동,130000,0
2024,11320,도봉구,도봉동,36300,1996
2024,11500,강서구,마곡동,21500,2017
2024,11590,동작구,노량진동,25700,2020
2024,11500,강서구,화곡동,15200,2008
2024,11380,은평구,신사동,26000,1981
